-0.081818	-878.17
31.336	-881.66
96.5	-878.17
150.03	-880.5
203.55	-902.61
253.59	-913.08
295.48	-927.05
350.17	-945.66
435.12	-943.34
477.01	-925.88
523.55	-930.54
572.43	-950.32
629.45	-957.3
694.61	-970.1
750.46	-975.92
801.66	-987.55
879.63	-996.86
950.61	-980.57
993.66	-988.72
1061.2	-985.23
1105.4	-947.99
1132.1	-897.95
1165.9	-844.43
1186.8	-803.7
1207.8	-762.97
1247.3	-767.63
1281.1	-809.52
1309	-874.68
1348.6	-899.12
1395.1	-932.86
1456.8	-973.59
1540.6	-1048.1
1583.6	-1038.8
1653.4	-1050.4
1718.6	-1052.7
1794.2	-1039.9
1843.1	-1029.4
1956	-1038.8
2043.3	-1022.5
2077	-1030.6
2116.6	-995.7
2193.4	-992.21
2248.1	-961.95
2293.4	-956.14
2352.8	-932.86
2418	-890.97
2472.6	-863.05
2532	-887.48
